id;start_date;end_date;language
1;2020-03-20T13:55:00;2020-03-20T11:45:15;SPANISH
2;2020-03-19T18:45:11;2020-03-20T13:49:36;SPANISH
3;2020-03-20T09:40:30;2020-03-19T20:14:39;FRENCH
4;2020-03-20T00:58:01;2020-03-20T12:29:27;FRENCH
5;2020-03-20T10:28:19;2020-03-20T15:15:18;FRENCH
6;2020-03-20T04:20:40;2020-03-20T16:28:54;FRENCH
7;2020-03-20T06:06:00;2020-03-19T23:56:51;FRENCH
8;2020-03-20T05:02:13;2020-03-20T15:18:21;SPANISH
9;2020-03-20T03:43:22;2020-03-20T00:24:45;SPANISH
10;2020-03-20T11:55:26;2020-03-19T22:29:56;SPANISH
